lambda	alpha	Final_Accuracy	Sparsity
0.8	0.01	95.06	9420105
0.8	0.1	95.03	9412078
0.8	0.3	95.24	9125688
1.0	0.01	95.07	9604920
1.0	0.1	95.1	9712787
1.0	0.3	94.75	9330138
1.2	0.01	94.65	9891172
1.2	0.1	94.68	9771246
1.2	0.3	95.05	9558099
1.4	0.01	94.66	10008403
1.4	0.1	94.59	9994889
1.4	0.3	95.01	9641565
1.6	0.01	94.48	10047827
1.6	0.1	94.39	10031049
1.6	0.3	94.42	9877486
1.8	0.01	93.76	10176969
1.8	0.1	94.42	10005102
1.8	0.3	94.59	9912760
