lambda	alpha	Final_Accuracy	Sparsity
1.0	0.01	93.48	13377177
1.0	0.1	93.52	13257918
1.0	0.3	93.72	13233618
1.2	0.01	93.51	13498740
1.2	0.1	93.61	13470543
1.2	0.3	93.7	13343355
1.4	0.01	93.45	13657554
1.4	0.1	93.53	13564323
1.4	0.3	93.45	13422105
1.6	0.01	92.93	12957822
1.6	0.1	93.25	13635936
1.6	0.3	93.27	13525209
1.8	0.0001	93.11	13796586
1.8	0.01	93.4	13568571
1.8	0.1	93.23	13722777
1.8	0.3	93.38	13586103
1.8	0.9	92.65	13358799
